quantity,bootstrap_mean,ci_low,ci_high,ci_low_first_half,ci_high_first_half
difference|probabilistic_grid_pattern_retrieval|tsmini|0.75,0.03896023538671576,0.010428893456567322,0.06937809812221965,0.010296760490648166,0.06948710005537728
primary_mean_difference|probabilistic_grid_pattern_retrieval|tsmini,0.0492209647926452,0.028884371466956594,0.07149344835370414,0.0286363159117068,0.0718373668330376
interaction75_25|probabilistic_grid_pattern_retrieval|tsmini,-0.022539572890740323,-0.06623972656299065,0.017444735244044177,-0.06560764120624862,0.01770449397907512
difference|probabilistic_grid_pattern_retrieval|recurrent|0.25,0.0250915280403356,-0.0029544727834334115,0.05546663136467717,-0.0033286048766469982,0.055780986159301695
difference|probabilistic_grid_pattern_retrieval|recurrent|0.50,0.005547114881365724,-0.020824647078794684,0.0345504112000944,-0.020657175601215418,0.03425696123676291
difference|probabilistic_grid_pattern_retrieval|recurrent|0.66,0.01415335259590073,-0.01132937525207789,0.042792368531230945,-0.01116312382237018,0.042841181462805356
difference|probabilistic_grid_pattern_retrieval|recurrent|0.75,0.010273149178867515,-0.01809590976902306,0.040902812579834476,-0.01809607012048449,0.04119952726006953
primary_mean_difference|probabilistic_grid_pattern_retrieval|recurrent,0.013766286174117391,-0.0083460431758709,0.03859693500272742,-0.008505865154968826,0.0385036283463525
interaction75_25|probabilistic_grid_pattern_retrieval|recurrent,-0.014818378861468084,-0.04913486726030007,0.01911520520119567,-0.049210617979313226,0.018735576199904066
difference|probabilistic_grid_pattern_retrieval|most_frequent_personal_destination|0.25,0.059979415586905636,0.0032600036683156854,0.11903025788817953,0.0024318491698901603,0.11851785819148199
difference|probabilistic_grid_pattern_retrieval|most_frequent_personal_destination|0.50,0.064180898206649,-0.0008752889182443253,0.12782958772116987,-0.0011444309834786623,0.12625210151685598
difference|probabilistic_grid_pattern_retrieval|most_frequent_personal_destination|0.66,0.07734302128755174,0.012494484407170523,0.14070554180348785,0.013075027443431576,0.13910804711584404
difference|probabilistic_grid_pattern_retrieval|most_frequent_personal_destination|0.75,0.08248438684076868,0.014742536934579938,0.14994145070885279,0.014821013108950596,0.14689208303581314
primary_mean_difference|probabilistic_grid_pattern_retrieval|most_frequent_personal_destination,0.07099693048046876,0.009929566346678029,0.13274988245772082,0.009929566346678029,0.13047509366688723
interaction75_25|probabilistic_grid_pattern_retrieval|most_frequent_personal_destination,0.022504971253863054,-0.013495449615213966,0.055730713194242845,-0.013099761623505771,0.0554163510533613
difference|probabilistic_grid_pattern_retrieval|nearest_known_destination_to_current_point|0.25,0.34026237661025266,0.26538495552969305,0.4166414430074545,0.2665256063765011,0.417785375106222
difference|probabilistic_grid_pattern_retrieval|nearest_known_destination_to_current_point|0.50,0.2856611160599051,0.2123308244818136,0.35919938012228547,0.2143618949036947,0.35912353763246574
difference|probabilistic_grid_pattern_retrieval|nearest_known_destination_to_current_point|0.66,0.23376558068528747,0.15660237187752013,0.3105375853137259,0.1581815421108246,0.3112239643810834
difference|probabilistic_grid_pattern_retrieval|nearest_known_destination_to_current_point|0.75,0.20530846231222327,0.13333313420602344,0.27895578734010607,0.13591323350527504,0.2794316255413688
primary_mean_difference|probabilistic_grid_pattern_retrieval|nearest_known_destination_to_current_point,0.2662493839169171,0.19933664068348503,0.3344470599593456,0.20070011818552455,0.3353092845385015
interaction75_25|probabilistic_grid_pattern_retrieval|nearest_known_destination_to_current_point,-0.13495391429802941,-0.20993182572117583,-0.0672133495264989,-0.20991871929648506,-0.06661750310407946
difference|probabilistic_grid_pattern_retrieval|last_observed_point|0.25,0.34026237661025266,0.26538495552969305,0.4166414430074545,0.2665256063765011,0.417785375106222
difference|probabilistic_grid_pattern_retrieval|last_observed_point|0.50,0.2856611160599051,0.2123308244818136,0.35919938012228547,0.2143618949036947,0.35912353763246574
difference|probabilistic_grid_pattern_retrieval|last_observed_point|0.66,0.23376558068528747,0.15660237187752013,0.3105375853137259,0.1581815421108246,0.3112239643810834
