destination_popularity_stratum,method,ratio,users,trips,user_macro_hit_r90,trip_weighted_hit_r90,user_macro_within_200m,user_macro_within_1000m,mean_user_median_error_m
outside_training_r90,probabilistic_grid_pattern_retrieval,0.66,37,578,0.0,0.0,0.1354872153874663,0.345098826966123,5007.43460640556
outside_training_r90,probabilistic_grid_pattern_retrieval,0.75,37,578,0.0,0.0,0.1427636292676538,0.3505545778187509,4750.53822427018
outside_training_r90,tsmini,0.25,37,578,0.0,0.0,0.1205788724508947,0.2773223622072983,6711.700182923985
outside_training_r90,tsmini,0.5,37,578,0.0,0.0,0.1356327526510278,0.3140212014719076,8871.24274365224
outside_training_r90,tsmini,0.66,37,578,0.0,0.0,0.1440647130885908,0.3352790651472032,8556.558791055155
outside_training_r90,tsmini,0.75,37,578,0.0,0.0,0.1503492216866637,0.3524181708858508,6937.873862527415
popular_modal,bigru,0.25,34,511,0.7531317121059767,0.7996086105675146,0.735492823217088,0.7969612975532094,782.6142338005445
popular_modal,bigru,0.5,34,511,0.7996249028749027,0.8285714285714285,0.7804970433977786,0.8472563074180721,641.6856308711649
popular_modal,bigru,0.66,34,511,0.8341005873211755,0.8622309197651663,0.8133183160793455,0.8861676950500481,507.0729337097257
popular_modal,bigru,0.75,34,511,0.85892959763548,0.8849315068493152,0.838882620511297,0.8960303563538858,374.27496098925326
popular_modal,current_position_only_personal_retrieval,0.25,34,511,0.5456406209531209,0.5557729941291585,0.5340393137635785,0.6352610903530022,1290.436448586977
popular_modal,current_position_only_personal_retrieval,0.5,34,511,0.6088638553712084,0.598825831702544,0.5954243128875482,0.7141166091533737,1014.2990516660304
popular_modal,current_position_only_personal_retrieval,0.66,34,511,0.7175028232932644,0.6966731898238747,0.704012218718101,0.7774385778981368,456.553863798951
popular_modal,current_position_only_personal_retrieval,0.75,34,511,0.7090059579581638,0.7123287671232876,0.7006521997882292,0.7808038292045645,433.0277043709001
popular_modal,geometric_retrieval,0.25,34,511,0.6737326841187136,0.639921722113503,0.669535380197145,0.7471180507945214,381.0645028043138
popular_modal,geometric_retrieval,0.5,34,511,0.6697702753401283,0.6555772994129159,0.6618454387388212,0.7860977897374957,383.9487672140293
popular_modal,geometric_retrieval,0.66,34,511,0.6961346687081981,0.6947162426614482,0.6877502732833615,0.7965653756646405,335.6784015681811
popular_modal,geometric_retrieval,0.75,34,511,0.7303926710544358,0.7338551859099804,0.7187913638648933,0.8344516431281137,326.4518571940227
popular_modal,last_observed_point,0.25,34,511,0.1699872118622118,0.1996086105675146,0.1644418687249569,0.3662435392766275,3815.316157691938
popular_modal,last_observed_point,0.5,34,511,0.2321032249341073,0.2309197651663405,0.2237494667641726,0.4572556018328076,2703.5808269832846
popular_modal,last_observed_point,0.66,34,511,0.3008934271066624,0.3170254403131115,0.2962672016164663,0.5507400694349223,2215.757572679187
popular_modal,last_observed_point,0.75,34,511,0.4316907098892392,0.410958904109589,0.4275240432225726,0.6654028644285996,1157.4387068581534
popular_modal,most_frequent_personal_destination,0.25,34,511,0.9808823529411764,0.9902152641878668,0.9586294934640522,0.9808823529411764,42.16277453320734
popular_modal,most_frequent_personal_destination,0.5,34,511,0.9808823529411764,0.9902152641878668,0.9586294934640522,0.9808823529411764,42.16277453320734
popular_modal,most_frequent_personal_destination,0.66,34,511,0.9808823529411764,0.9902152641878668,0.9586294934640522,0.9808823529411764,42.16277453320734
popular_modal,most_frequent_personal_destination,0.75,34,511,0.9808823529411764,0.9902152641878668,0.9586294934640522,0.9808823529411764,42.16277453320734
popular_modal,nearest_known_destination_to_current_point,0.25,34,511,0.1699872118622118,0.1996086105675146,0.1644418687249569,0.3662435392766275,3815.316157691938
popular_modal,nearest_known_destination_to_current_point,0.5,34,511,0.2321032249341073,0.2309197651663405,0.2237494667641726,0.4572556018328076,2703.5808269832846
popular_modal,nearest_known_destination_to_current_point,0.66,34,511,0.3008934271066624,0.3170254403131115,0.2962672016164663,0.5507400694349223,2215.757572679187
popular_modal,nearest_known_destination_to_current_point,0.75,34,511,0.4316907098892392,0.410958904109589,0.4275240432225726,0.6654028644285996,1157.4387068581534
popular_modal,probabilistic_grid_pattern_retrieval,0.25,34,511,0.8220933981595746,0.8140900195694716,0.8081636595974832,0.8756955966147144,284.65759287213393
popular_modal,probabilistic_grid_pattern_retrieval,0.5,34,511,0.7910515886618829,0.7749510763209393,0.7738845134984842,0.8500069511098923,170.9659124199248
popular_modal,probabilistic_grid_pattern_retrieval,0.66,34,511,0.8149100354982708,0.7847358121330724,0.7986927152368329,0.8914659652711123,80.40658000144134
popular_modal,probabilistic_grid_pattern_retrieval,0.75,34,511,0.8439161838978015,0.8062622309197651,0.8244819518716578,0.9168309937611407,93.0006255399602
popular_modal,tsmini,0.25,34,511,0.6041836749851456,0.613307240704501,0.5968940508021391,0.7176629044974634,1146.4062706603431
popular_modal,tsmini,0.5,34,511,0.6738754618203149,0.6645792563600783,0.6666042199902494,0.7690789331855509,938.7183016659848
popular_modal,tsmini,0.66,34,511,0.7235338728537258,0.7048923679060665,0.7107070754681049,0.8139461346115757,536.8169204056551
popular_modal,tsmini,0.75,34,511,0.7356986284412755,0.7275929549902153,0.7227860467419291,0.8263888717491659,494.501960328393
