analysis,metric,quantity,first_method,second_method,ratio_or_change,observed,ci_low,ci_high
held_out_elapsed_time,hit_r90_all,rate,grid_last_state_only,,0.25,37.30282867325966,31.018096074443566,43.91224549580457
held_out_elapsed_time,hit_r90_all,rate,grid_last_state_only,,0.50,38.46801063788218,31.747833661293036,45.45265255147355
held_out_elapsed_time,hit_r90_all,rate,grid_last_state_only,,0.66,43.582509776123054,36.56681358165787,50.650906413402126
held_out_elapsed_time,hit_r90_all,rate,grid_last_state_only,,0.75,46.88471915136075,40.20476410092042,53.70792153842093
held_out_elapsed_time,hit_r90_all,mean_rate,grid_last_state_only,,mean,41.55951705965641,35.35444488954354,48.041073265500486
held_out_elapsed_time,hit_r90_all,paired_difference,grid_full_prefix,grid_last_state_only,0.25,2.7827226308999533,-1.2008322331811612,6.947950409750118
held_out_elapsed_time,hit_r90_all,paired_difference,grid_full_prefix,grid_last_state_only,0.50,6.134405323077196,2.542607640452402,10.09786262595108
held_out_elapsed_time,hit_r90_all,paired_difference,grid_full_prefix,grid_last_state_only,0.66,2.067612236063038,-1.4780447119157818,5.878926697924432
held_out_elapsed_time,hit_r90_all,paired_difference,grid_full_prefix,grid_last_state_only,0.75,-1.1310071436029467,-4.516976170994959,1.9615825310348798
held_out_elapsed_time,hit_r90_all,mean_difference,grid_full_prefix,grid_last_state_only,mean,2.4634332616093104,0.08294631583161358,4.800933985303214
held_out_elapsed_time,hit_r90_all,difference_in_change,grid_full_prefix,grid_last_state_only,75_minus_25,-3.9137297745029,-9.163424843533546,1.2025157753046825
held_out_cumulative_distance,hit_r90_all,rate,grid_full_prefix,,0.25,43.172721429385945,36.289806443631065,50.1741336538115
held_out_cumulative_distance,hit_r90_all,rate,grid_full_prefix,,0.50,43.96714675734309,37.14786577418447,51.09875265438868
held_out_cumulative_distance,hit_r90_all,rate,grid_full_prefix,,0.66,46.50242282033411,39.80319868140108,53.348274986372765
held_out_cumulative_distance,hit_r90_all,rate,grid_full_prefix,,0.75,47.72998847711368,40.90648777751433,54.58784415534051
held_out_cumulative_distance,hit_r90_all,mean_rate,grid_full_prefix,,mean,45.34306987104421,38.75238614445805,52.13960077902472
held_out_cumulative_distance,hit_r90_all,rate,grid_last_state_only,,0.25,39.93742783958029,33.360387320041106,46.77314785560261
held_out_cumulative_distance,hit_r90_all,rate,grid_last_state_only,,0.50,39.19250293748343,32.79484671343179,45.99698394959309
held_out_cumulative_distance,hit_r90_all,rate,grid_last_state_only,,0.66,45.25265854279191,38.567911891039834,52.23714983897678
held_out_cumulative_distance,hit_r90_all,rate,grid_last_state_only,,0.75,47.33010646083727,40.492774213727856,54.313021216324856
held_out_cumulative_distance,hit_r90_all,mean_rate,grid_last_state_only,,mean,42.92817394517323,36.82066954971006,49.22553616319079
held_out_cumulative_distance,hit_r90_all,paired_difference,grid_full_prefix,grid_last_state_only,0.25,3.23529358980566,-1.2262928790727887,8.012525613071398
held_out_cumulative_distance,hit_r90_all,paired_difference,grid_full_prefix,grid_last_state_only,0.50,4.774643819859659,0.926647425951942,8.902524965388265
held_out_cumulative_distance,hit_r90_all,paired_difference,grid_full_prefix,grid_last_state_only,0.66,1.249764277542198,-1.3861006930562048,4.088992375648842
held_out_cumulative_distance,hit_r90_all,paired_difference,grid_full_prefix,grid_last_state_only,0.75,0.39988201627640385,-1.9672062847151988,3.1248162267243513
held_out_cumulative_distance,hit_r90_all,mean_difference,grid_full_prefix,grid_last_state_only,mean,2.4148959258709803,0.41796966796461754,4.576008628752631
held_out_cumulative_distance,hit_r90_all,difference_in_change,grid_full_prefix,grid_last_state_only,75_minus_25,-2.8354115735292558,-8.54414318560491,2.9434833467077377
held_out_point_count,within_200m,rate,grid_full_prefix,,0.25,48.03514050787767,41.2937360226903,54.962230617471526
held_out_point_count,within_200m,rate,grid_full_prefix,,0.50,48.85765017530262,42.258655646412095,55.64046736193486
held_out_point_count,within_200m,rate,grid_full_prefix,,0.66,51.05209547653672,44.50680033173222,57.62345809611974
held_out_point_count,within_200m,rate,grid_full_prefix,,0.75,52.48985134805392,45.85121233871079,59.24517977224508
held_out_point_count,within_200m,mean_rate,grid_full_prefix,,mean,50.10868437694273,43.71905212479829,56.57447011234362
held_out_point_count,within_200m,rate,grid_last_state_only,,0.25,40.436542588656025,33.88190544959208,47.21959416115288
held_out_point_count,within_200m,rate,grid_last_state_only,,0.50,43.623588586187815,37.38684805585439,50.19478447977783
held_out_point_count,within_200m,rate,grid_last_state_only,,0.66,50.81139649619444,44.165414572255706,57.61965564754413
