quantity,bootstrap_mean,ci_low,ci_high,ci_low_first_half,ci_high_first_half
interaction75_25|recurrent|current_position_only_personal_retrieval,-0.06087590154316121,-0.11760148262977312,-0.007420694491391927,-0.11839950094143399,-0.008801225531398376
difference|most_frequent_personal_destination|nearest_known_destination_to_current_point|0.25,0.24990560714017698,0.18006793997488454,0.3191385913340061,0.1808925587156679,0.31908467626081727
difference|most_frequent_personal_destination|nearest_known_destination_to_current_point|0.50,0.20528075801349618,0.1273323146854611,0.28241937606808104,0.12757085746042626,0.2820174991154447
difference|most_frequent_personal_destination|nearest_known_destination_to_current_point|0.66,0.14544613010755775,0.061640458301379604,0.2293330812254813,0.06167705337937719,0.23015456694014935
difference|most_frequent_personal_destination|nearest_known_destination_to_current_point|0.75,0.07310604802633003,-0.016257270569620088,0.16052703947143443,-0.016100820355518124,0.16030673087465888
primary_mean_difference|most_frequent_personal_destination|nearest_known_destination_to_current_point,0.16843463582189025,0.09100168778563777,0.24400135787829608,0.09089046713351606,0.2436054344105599
interaction75_25|most_frequent_personal_destination|nearest_known_destination_to_current_point,-0.17679955911384693,-0.2322799233436613,-0.12466948976410623,-0.23291628276181395,-0.1247791522253065
difference|most_frequent_personal_destination|last_observed_point|0.25,0.24990560714017698,0.18006793997488454,0.3191385913340061,0.1808925587156679,0.31908467626081727
difference|most_frequent_personal_destination|last_observed_point|0.50,0.20528075801349618,0.1273323146854611,0.28241937606808104,0.12757085746042626,0.2820174991154447
difference|most_frequent_personal_destination|last_observed_point|0.66,0.14544613010755775,0.061640458301379604,0.2293330812254813,0.06167705337937719,0.23015456694014935
difference|most_frequent_personal_destination|last_observed_point|0.75,0.07310604802633003,-0.016257270569620088,0.16052703947143443,-0.016100820355518124,0.16030673087465888
primary_mean_difference|most_frequent_personal_destination|last_observed_point,0.16843463582189025,0.09100168778563777,0.24400135787829608,0.09089046713351606,0.2436054344105599
interaction75_25|most_frequent_personal_destination|last_observed_point,-0.17679955911384693,-0.2322799233436613,-0.12466948976410623,-0.23291628276181395,-0.1247791522253065
