catalog_eps_m,method,seed,ratio,user_id,n,coverage_r80,coverage_r90,coverage_r95,hit_r80,hit_r90,hit_r95,hit_fixed_200m,within_200m,within_1000m,median_error_m,p90_error_m,native_within_200m,native_within_1000m,native_median_error_m,native_p90_error_m,median_query_runtime_ms
100.0,recurrent,20260723,0.66,17,95,0.5473684210526316,0.6,0.6736842105263158,0.010526315789473684,0.021052631578947368,0.021052631578947368,0.042105263157894736,0.5368421052631579,0.6736842105263158,163.76257126555774,7996.004369368094,0.5368421052631579,0.6736842105263158,162.9312131252467,7996.004369368094,
100.0,recurrent,20260723,0.66,19,19,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.47368421052631576,0.47368421052631576,0.631578947368421,439.33259681688327,3477.5903920953847,0.47368421052631576,0.631578947368421,439.33259681688327,3477.5903920953847,
100.0,recurrent,20260723,0.66,20,33,0.7878787878787878,0.8484848484848485,0.8484848484848485,0.7272727272727273,0.7878787878787878,0.7878787878787878,0.8181818181818182,0.8181818181818182,0.9393939393939394,52.83701686083826,494.3059774591884,0.8181818181818182,0.9393939393939394,52.83701686083826,494.3059774591884,
100.0,recurrent,20260723,0.66,24,24,0.6666666666666666,0.6666666666666666,0.7083333333333334,0.6666666666666666,0.6666666666666666,0.7083333333333334,0.7916666666666666,0.7916666666666666,0.9583333333333334,73.8876999075359,350.02475070307565,0.7916666666666666,0.9583333333333334,73.8876999075359,350.02475070307565,
100.0,recurrent,20260723,0.66,25,166,0.4578313253012048,0.5120481927710844,0.536144578313253,0.3253012048192771,0.3674698795180723,0.3855421686746988,0.3855421686746988,0.3855421686746988,0.4759036144578313,1424.6162974005856,55465.22806795648,0.3855421686746988,0.4759036144578313,1424.6162974005856,55465.22806795648,
100.0,recurrent,20260723,0.66,26,11,0.5454545454545454,0.5454545454545454,0.7272727272727273,0.5454545454545454,0.5454545454545454,0.7272727272727273,0.8181818181818182,0.8181818181818182,0.9090909090909091,41.49560927740728,803.3975007338955,0.8181818181818182,0.9090909090909091,41.49560927740728,803.3975007338955,
100.0,recurrent,20260723,0.66,28,16,0.4375,0.5625,0.625,0.375,0.5,0.5625,0.625,0.625,0.75,24.176107614373052,19656.447087807854,0.625,0.75,24.176107614373052,19656.447087807854,
100.0,recurrent,20260723,0.66,29,11,0.8181818181818182,0.9090909090909091,0.9090909090909091,0.7272727272727273,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,33.28795689739256,8734.389907119541,0.8181818181818182,0.8181818181818182,33.28795689739256,8734.389907119541,
100.0,recurrent,20260723,0.66,35,19,0.47368421052631576,0.7368421052631579,0.7368421052631579,0.42105263157894735,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.6842105263157895,5.536747478390478,5390.825247384065,0.6842105263157895,0.6842105263157895,5.536747478390478,5390.825247384065,
100.0,recurrent,20260723,0.66,36,18,0.3333333333333333,0.3888888888888889,0.3888888888888889,0.1111111111111111,0.16666666666666666,0.16666666666666666,0.1111111111111111,0.16666666666666666,0.6666666666666666,731.0584615558445,28760.118379986998,0.16666666666666666,0.6666666666666666,731.0584615558445,28760.118379986998,
100.0,recurrent,20260723,0.66,37,37,0.16216216216216217,0.16216216216216217,0.1891891891891892,0.0,0.0,0.02702702702702703,0.02702702702702703,0.10810810810810811,0.24324324324324326,7020.7813690247385,16638.009223773286,0.1891891891891892,0.24324324324324326,7052.397104740257,16706.603692342822,
100.0,recurrent,20260723,0.66,38,26,0.2692307692307692,0.4230769230769231,0.4230769230769231,0.19230769230769232,0.2692307692307692,0.2692307692307692,0.2692307692307692,0.2692307692307692,0.46153846153846156,4005.849771349872,9825.591447665833,0.2692307692307692,0.46153846153846156,4001.312344881585,9825.591447665833,
100.0,recurrent,20260723,0.66,39,56,0.5535714285714286,0.6428571428571429,0.6428571428571429,0.30357142857142855,0.35714285714285715,0.35714285714285715,0.4107142857142857,0.4107142857142857,0.5357142857142857,923.9617381002365,19916.432277987682,0.4107142857142857,0.5357142857142857,923.9617381002365,19916.432277987682,
100.0,recurrent,20260723,0.66,51,11,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.36363636363636365,0.36363636363636365,0.6363636363636364,510.5752759746997,3301.313995536748,0.36363636363636365,0.6363636363636364,510.5752759746997,3301.313995536748,
100.0,recurrent,20260723,0.66,52,25,0.28,0.36,0.44,0.08,0.12,0.12,0.12,0.12,0.12,4339.24817593607,8172.091803652932,0.12,0.12,4339.24817593607,8170.011395600076,
100.0,recurrent,20260723,0.66,62,145,0.4896551724137931,0.5379310344827586,0.5517241379310345,0.35172413793103446,0.36551724137931035,0.3724137931034483,0.36551724137931035,0.3724137931034483,0.6827586206896552,418.9967941515824,6058.115226177948,0.3724137931034483,0.6827586206896552,414.7692574653863,6050.300871186014,
100.0,recurrent,20260723,0.66,65,30,0.5666666666666667,0.6,0.6666666666666666,0.5,0.5333333333333333,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666,84.28572551471889,2898.176318414745,0.6666666666666666,0.6666666666666666,84.28572551471889,2898.176318414745,
