analysis,destination_popularity_stratum,prefix_familiarity,ratio,method,user_macro_hit_r90,user_macro_within_200m,user_macro_within_1000m,mean_user_median_error_m,users,user_case_sum
joint_familiarity,outside_training_r90,no_close_analogue,0.66,current_position_only_personal_retrieval,0.0,0.04319526627218935,0.1395911780527165,172617.7181642945,26,142
joint_familiarity,outside_training_r90,no_close_analogue,0.66,geometric_retrieval,0.0,0.037721893491124266,0.10108481262327416,152766.49123477782,26,142
joint_familiarity,outside_training_r90,no_close_analogue,0.66,most_frequent_personal_destination,0.0,0.05739644970414201,0.08895015241169088,183393.6142043086,26,142
joint_familiarity,outside_training_r90,no_close_analogue,0.66,probabilistic_grid_pattern_retrieval,0.0,0.040680473372781065,0.11740182894029048,149376.35460034697,26,142
joint_familiarity,outside_training_r90,no_close_analogue,0.66,tsmini,0.0,0.04781065088757397,0.09892325623094854,193392.1593914074,26,142
joint_familiarity,outside_training_r90,no_close_analogue,0.75,bigru,0.0,0.04699712243571893,0.10209493641511186,129343.03488588717,27,156
joint_familiarity,outside_training_r90,no_close_analogue,0.75,current_position_only_personal_retrieval,0.0,0.10409704817599554,0.1826905226028033,113129.71361825586,27,156
joint_familiarity,outside_training_r90,no_close_analogue,0.75,geometric_retrieval,0.0,0.03791887125220459,0.09948192239858906,162871.42929380495,27,156
joint_familiarity,outside_training_r90,no_close_analogue,0.75,most_frequent_personal_destination,0.0,0.05504501995730066,0.09959795321637427,175270.92977007243,27,156
joint_familiarity,outside_training_r90,no_close_analogue,0.75,probabilistic_grid_pattern_retrieval,0.0,0.03986818899099601,0.11581616077230111,139558.67578198158,27,156
joint_familiarity,outside_training_r90,no_close_analogue,0.75,tsmini,0.0,0.042541539032767105,0.10854683003805811,164041.5578592101,27,156
joint_familiarity,popular_modal,analogue_present,0.25,bigru,0.7673619711042312,0.7493168583222763,0.8068784595177785,758.8112123922101,34,468
joint_familiarity,popular_modal,analogue_present,0.25,current_position_only_personal_retrieval,0.567551291252661,0.5553148177158779,0.6497967425964096,1202.292132296851,34,468
joint_familiarity,popular_modal,analogue_present,0.25,geometric_retrieval,0.6836057289365748,0.6793057633362996,0.7434097342707658,437.2169252549351,34,468
joint_familiarity,popular_modal,analogue_present,0.25,most_frequent_personal_destination,0.9784313725490196,0.9554081281635461,0.9784313725490196,42.78509233585317,34,468
joint_familiarity,popular_modal,analogue_present,0.25,probabilistic_grid_pattern_retrieval,0.8413650244134647,0.8267451413725291,0.8797508731708304,277.70234815649263,34,468
joint_familiarity,popular_modal,analogue_present,0.25,tsmini,0.613346720791373,0.6058426665380926,0.7200782722636365,1026.349306624065,34,468
joint_familiarity,popular_modal,analogue_present,0.5,bigru,0.8155161015141922,0.7960000465046176,0.8533059750393598,620.7121942868811,34,459
joint_familiarity,popular_modal,analogue_present,0.5,current_position_only_personal_retrieval,0.6348225404987901,0.6212204895089026,0.7322814679676876,1004.3553946188547,34,459
joint_familiarity,popular_modal,analogue_present,0.5,geometric_retrieval,0.68322011906151,0.675220308967981,0.7897697605687786,398.0948373482143,34,459
joint_familiarity,popular_modal,analogue_present,0.5,most_frequent_personal_destination,0.9784313725490196,0.955460602320024,0.9784313725490196,42.335584128450456,34,459
joint_familiarity,popular_modal,analogue_present,0.5,probabilistic_grid_pattern_retrieval,0.8257059185059148,0.8079021868437584,0.8733728079474802,152.77832110271197,34,459
joint_familiarity,popular_modal,analogue_present,0.5,tsmini,0.687459506681755,0.6802066620410738,0.7760332511493181,752.1675099525974,34,459
joint_familiarity,popular_modal,analogue_present,0.66,bigru,0.8520174276062288,0.8303698950056181,0.8914786363321434,482.48105013858753,34,468
joint_familiarity,popular_modal,analogue_present,0.66,current_position_only_personal_retrieval,0.7150508641540881,0.7010184326786731,0.7739454191999522,609.8684591645555,34,468
joint_familiarity,popular_modal,analogue_present,0.66,geometric_retrieval,0.7138038315295743,0.7054028192885197,0.8013917190059966,291.08583607047456,34,468
joint_familiarity,popular_modal,analogue_present,0.66,most_frequent_personal_destination,0.9784313725490196,0.9551031676795011,0.9784313725490196,42.09125329399577,34,468
joint_familiarity,popular_modal,analogue_present,0.66,probabilistic_grid_pattern_retrieval,0.8259967396378612,0.8092459008842807,0.9033387193804516,81.17163565142404,34,468
joint_familiarity,popular_modal,analogue_present,0.66,tsmini,0.7403147851620729,0.7271562449098139,0.8239052479752554,463.78801118763715,34,468
joint_familiarity,popular_modal,analogue_present,0.75,bigru,0.8620007612777892,0.8411935648116322,0.8919400703347454,410.6394955709294,34,473
joint_familiarity,popular_modal,analogue_present,0.75,current_position_only_personal_retrieval,0.7054367120978841,0.6970746455198403,0.7742220244276637,455.6860266126965,34,473
joint_familiarity,popular_modal,analogue_present,0.75,geometric_retrieval,0.7375433792551376,0.7254002451653435,0.8281711247947604,341.93217301131557,34,473
joint_familiarity,popular_modal,analogue_present,0.75,most_frequent_personal_destination,0.9784313725490196,0.9551031676795011,0.9784313725490196,41.935020914989416,34,473
