analysis,requested_k,ambiguity_stratum,ratio,method,user_macro_hit_r90,user_macro_within_200m,user_macro_within_1000m,mean_user_median_error_m,users,user_case_sum
location_ambiguity,10,high,0.5,recurrent,0.2049496003671041,0.23354452511511795,0.3298192459146872,87981.02602259249,30,585
location_ambiguity,10,high,0.5,current_position_only_personal_retrieval,0.18944030303248904,0.21477661966137654,0.33162001808799696,87488.21075571254,30,585
location_ambiguity,10,high,0.5,geometric_retrieval,0.21543353866658602,0.24020336817402863,0.3539440030579181,87029.20613004694,30,585
location_ambiguity,10,high,0.5,most_frequent_personal_destination,0.2343163231760647,0.23894657640386066,0.33361957205137194,89630.33941408285,30,585
location_ambiguity,10,high,0.5,probabilistic_grid_pattern_retrieval,0.22671594877826912,0.26142551424314925,0.3799253543995626,86370.18491819817,30,585
location_ambiguity,10,high,0.5,tsmini,0.20966299093128285,0.24297057609531872,0.35479390151938633,89035.15626715445,30,585
location_ambiguity,10,high,0.66,recurrent,0.2535084874522879,0.307171500430573,0.41626189525080654,94291.11165925128,32,532
location_ambiguity,10,high,0.66,current_position_only_personal_retrieval,0.15206386271658448,0.20554706927816807,0.34506691323349586,93324.52033584502,32,532
location_ambiguity,10,high,0.66,geometric_retrieval,0.19779599223021602,0.27592718899044505,0.4239770906177156,93029.76757098868,32,532
location_ambiguity,10,high,0.66,most_frequent_personal_destination,0.278373670460364,0.30492406604931804,0.3908668172944887,96473.85573828335,32,532
location_ambiguity,10,high,0.66,probabilistic_grid_pattern_retrieval,0.2533933108781899,0.3203708356215917,0.41755280617679813,93209.52676751238,32,532
location_ambiguity,10,high,0.66,tsmini,0.21919431386266064,0.28134112580407944,0.4119575422057781,94324.6385992515,32,532
location_ambiguity,10,high,0.75,recurrent,0.17329008925539707,0.23045190592661224,0.3211779980961195,5003.770197889924,30,541
location_ambiguity,10,high,0.75,current_position_only_personal_retrieval,0.16625521762349096,0.2686580991025025,0.41820085133338064,3770.428293277871,30,541
location_ambiguity,10,high,0.75,geometric_retrieval,0.22268056677739312,0.3001651058559681,0.43588083761765134,3938.7366116476032,30,541
location_ambiguity,10,high,0.75,most_frequent_personal_destination,0.1753086262780458,0.19986216037643226,0.2911521060930248,5003.643968004615,30,541
location_ambiguity,10,high,0.75,probabilistic_grid_pattern_retrieval,0.2489448070160231,0.3283618114209396,0.4201371194551636,3858.4006359624614,30,541
location_ambiguity,10,high,0.75,tsmini,0.2086995235499331,0.27784657761691917,0.40647044215019235,4515.065450888997,30,541
location_ambiguity,10,low,0.25,recurrent,0.4661491086982133,0.5031216866592699,0.5999683695319574,2192.253932032003,32,484
location_ambiguity,10,low,0.25,current_position_only_personal_retrieval,0.44391858048745714,0.48223628823155,0.5856773396346957,2129.525406284055,32,484
location_ambiguity,10,low,0.25,geometric_retrieval,0.5054718011917032,0.5432976107876479,0.6735549986772779,1244.9825470577032,32,484
location_ambiguity,10,low,0.25,most_frequent_personal_destination,0.4034245370616937,0.4342489035822918,0.5312251060331868,3316.4192496859373,32,484
location_ambiguity,10,low,0.25,probabilistic_grid_pattern_retrieval,0.4972310696358886,0.539398415061141,0.6529493933754464,1569.2947114818132,32,484
location_ambiguity,10,low,0.25,tsmini,0.4374993472074309,0.4721544061112455,0.6116254337137703,2141.427880926495,32,484
location_ambiguity,10,low,0.5,recurrent,0.5917244597873345,0.6166073471665166,0.7477253465671554,992.4158203406531,34,457
location_ambiguity,10,low,0.5,current_position_only_personal_retrieval,0.5172705533621317,0.547489405717207,0.6864647781863381,1598.3322084581475,34,457
location_ambiguity,10,low,0.5,geometric_retrieval,0.5854221145358093,0.6273031334411514,0.7638924579508204,846.3276162782148,34,457
location_ambiguity,10,low,0.5,most_frequent_personal_destination,0.41763739091566643,0.43816103391189026,0.5773680226886537,2424.41199971948,34,457
location_ambiguity,10,low,0.5,probabilistic_grid_pattern_retrieval,0.5933188740900683,0.6190052149816823,0.749566020165783,895.7230060384074,34,457
location_ambiguity,10,low,0.5,tsmini,0.5456938767762329,0.5771206013866247,0.7300029520300747,1053.7147381465793,34,457
location_ambiguity,10,low,0.66,recurrent,0.6254642362141454,0.6713005714518472,0.7705100247111708,938.739032807108,32,548
location_ambiguity,10,low,0.66,current_position_only_personal_retrieval,0.5885350368831022,0.6229396339728595,0.762727543097672,663.2052602750282,32,548
location_ambiguity,10,low,0.66,geometric_retrieval,0.561239667395723,0.600496067033936,0.7550151071433513,660.5950137992943,32,548
location_ambiguity,10,low,0.66,most_frequent_personal_destination,0.455543618039514,0.4871205276183336,0.5718340063733552,2805.0641762302894,32,548
location_ambiguity,10,low,0.66,probabilistic_grid_pattern_retrieval,0.6350225114992385,0.6790353230384166,0.7768264826266876,599.4242823138709,32,548
location_ambiguity,10,low,0.66,tsmini,0.5677910599940222,0.610107629746417,0.7514361471307494,829.8989878199425,32,548
location_ambiguity,10,low,0.75,recurrent,0.6650104737847442,0.7372508231037416,0.8130419682663024,714.6362498265735,30,492
location_ambiguity,10,low,0.75,current_position_only_personal_retrieval,0.6260730452995431,0.6810464104972468,0.8179380931548244,991.5469934164745,30,492
location_ambiguity,10,low,0.75,geometric_retrieval,0.6624058123243406,0.7377228031632083,0.8193069584899138,820.7759984906113,30,492
location_ambiguity,10,low,0.75,most_frequent_personal_destination,0.5148126614079023,0.5786856075573691,0.6481253281984685,2742.8428822568976,30,492
location_ambiguity,10,low,0.75,probabilistic_grid_pattern_retrieval,0.6906905092943071,0.7630672956895498,0.8355221528950216,594.65317189808,30,492
location_ambiguity,10,low,0.75,tsmini,0.6354639414324563,0.7050949834248487,0.8002138163693827,802.4644449972001,30,492
location_ambiguity,10,medium,0.25,recurrent,0.34339928399609093,0.38012966396214115,0.5110241848203311,2883.8926973918324,34,405
location_ambiguity,10,medium,0.25,current_position_only_personal_retrieval,0.20698283573656043,0.2493815320204681,0.4041638298769214,4552.192808327084,34,405
location_ambiguity,10,medium,0.25,geometric_retrieval,0.36668671887497867,0.4115222845865035,0.5398226947868552,2300.319159817758,34,405
location_ambiguity,10,medium,0.25,most_frequent_personal_destination,0.37165400420767863,0.4173582961546365,0.5309302446231184,2464.593066381629,34,405
location_ambiguity,10,medium,0.25,probabilistic_grid_pattern_retrieval,0.44967128263864725,0.4914910361930179,0.6122763704074943,1721.6229737930328,34,405
location_ambiguity,10,medium,0.25,tsmini,0.3438321614627139,0.39130316980160107,0.536078075687668,3034.623162390262,34,405
location_ambiguity,10,medium,0.5,recurrent,0.45451267099987563,0.5076980657019877,0.624756529827223,1622.6421354059348,35,433
location_ambiguity,10,medium,0.5,current_position_only_personal_retrieval,0.3393752895432472,0.39033087995407834,0.5427827634992063,2038.3270649081774,35,433
